! Date: 15/08/2026  Time: 08:20:44  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.05446215E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
   30  4.4330999E+16  8.5736506E-02  2.9633442E+03  1.4366501E-02  1.1397478E+01  5.3478699E-19  1.1502003E+05  5.3478699E-21  1.1502003E+03       Infinity  8.1728592E+00
   31  4.8019993E+16  7.4494033E-02  3.2099383E+03  1.5562006E-02  1.2345916E+01  4.7299425E-19  1.0172987E+05  4.7299425E-21  1.0172987E+03       Infinity  8.2478550E+00
   32  5.0073394E+16  1.0576465E-02  3.3471996E+03  1.6227459E-02  1.2873845E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.2980138E+00
   33  5.2556923E+16  8.4431479E-02  3.5132133E+03  1.7032305E-02  1.3512359E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.3179463E+00
   34  5.7173021E+16  8.3863638E-02  3.8217804E+03  1.8528260E-02  1.4699155E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.3514511E+00
   35  6.2160781E+16  8.3344874E-02  4.1551916E+03  2.0144660E-02  1.5981506E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.3798139E+00
   36  6.7566848E+16  8.3344874E-02  4.5165648E+03  2.1896623E-02  1.7371403E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.3958781E+00
   37  7.4644347E+16  1.1419014E-01  4.9896664E+03  2.4190253E-02  1.9191025E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4088710E+00
   38  8.5423705E+16  1.5259310E-01  5.7102220E+03  2.7683557E-02  2.1962392E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4260624E+00
   39  1.0200073E+17  1.9724348E-01  6.8183275E+03  3.3055730E-02  2.6224337E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4410869E+00
   40  1.2765346E+17  2.4430582E-01  8.5331067E+03  4.1369100E-02  3.2819641E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4552463E+00
   41  1.6726315E+17  2.8716962E-01  1.1180851E+04  5.4205549E-02  4.3003272E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4731184E+00
   42  2.2739545E+17  3.1764801E-01  1.5200447E+04  7.3692834E-02  5.8463258E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.4907463E+00
   43  3.1534350E+17  3.2873481E-01  2.1079411E+04  1.0219446E-01  8.1074657E+01  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.5188237E+00
   44  4.3650282E+17  3.1764801E-01  2.9178411E+04  1.4145898E-01  1.1222466E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.5732389E+00
   45  5.9063635E+17  2.8716962E-01  3.9481601E+04  1.9140957E-01  1.5185231E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.6771699E+00
   46  7.6943099E+17  2.4430582E-01  5.1433285E+04  2.4935217E-01  1.9782033E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  8.8726889E+00
   47  9.5788779E+17  1.9724348E-01  6.4030844E+04  3.1042602E-01  2.4627248E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  9.2360336E+00
   48  1.1392794E+18  1.5259310E-01  7.6156127E+04  3.6921025E-01  2.9290818E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  9.9154248E+00
   49  1.3004519E+18  1.1419014E-01  8.6929842E+04  4.2144197E-01  3.3434554E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  1.1277686E+01
   50  1.4344796E+18  8.3344874E-02  9.5889037E+04  4.6487678E-01  3.6880399E+02  3.7339034E-20  8.0307426E+03  3.7339034E-22  8.0307426E+01       Infinity  1.5800260E+01
