! Date: 14/08/2026  Time: 23:28:33  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.03127520E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  4.6080697E+14  1.0109476E+00  3.0803043E+01  1.4933532E-04  1.1847324E-01  1.5618949E-18  3.3592664E+05  1.5618949E-20  3.3592664E+03       Infinity  6.5211923E+00
    2  9.5104178E+14  5.4110969E-01  6.3573216E+01  3.0820741E-04  2.4451237E-01  1.5611638E-18  3.3576939E+05  1.5611638E-20  3.3576939E+03       Infinity  8.1025994E+00
    3  1.4925953E+15  3.8087291E-01  9.9773833E+01  4.8371054E-04  3.8374551E-01  1.5597855E-18  3.3547294E+05  1.5597855E-20  3.3547294E+03       Infinity  8.3591224E+00
    4  2.0908397E+15  3.0035762E-01  1.3976400E+02  6.7758567E-04  5.3755384E-01  1.5575650E-18  3.3499536E+05  1.5575650E-20  3.3499536E+03       Infinity  8.2276452E+00
    5  2.7517094E+15  2.5211231E-01  1.8394041E+02  8.9175602E-04  7.0746312E-01  1.5542622E-18  3.3428501E+05  1.5542622E-20  3.3428501E+03       Infinity  8.2573297E+00
    6  3.4817602E+15  2.2010758E-01  2.3274129E+02  1.1283461E-03  8.9515882E-01  1.5495805E-18  3.3327810E+05  1.5495805E-20  3.3327810E+03       Infinity  8.4779633E+00
    7  4.2882341E+15  1.9742066E-01  2.8665075E+02  1.3897029E-03  1.1025029E+00  1.5431550E-18  3.3189612E+05  1.5431550E-20  3.3189612E+03       Infinity  8.4479028E+00
    8  5.1791313E+15  1.8057242E-01  3.4620354E+02  1.6784191E-03  1.3315521E+00  1.5347989E-18  3.3009893E+05  1.5347989E-20  3.3009893E+03       Infinity  8.3730278E+00
    9  6.1632892E+15  1.6762277E-01  4.1199044E+02  1.9973585E-03  1.5845786E+00  1.5236729E-18  3.2770598E+05  1.5236729E-20  3.2770598E+03       Infinity  8.3272137E+00
   10  7.2504707E+15  1.5740431E-01  4.8466403E+02  2.3496852E-03  1.8640924E+00  1.5093546E-18  3.2462646E+05  1.5093546E-20  3.2462646E+03       Infinity  8.2987735E+00
   11  8.4514604E+15  1.4917234E-01  5.6494523E+02  2.7388941E-03  2.1728663E+00  1.4911685E-18  3.2071506E+05  1.4911685E-20  3.2071506E+03       Infinity  8.3153626E+00
   12  9.7781720E+15  1.4242939E-01  6.5363042E+02  3.1688462E-03  2.5139632E+00  1.4683585E-18  3.1580917E+05  1.4683585E-20  3.1580917E+03       Infinity  8.2447697E+00
   13  1.1243766E+16  1.3683044E-01  7.5159935E+02  3.6438064E-03  2.8907667E+00  1.4401112E-18  3.0973385E+05  1.4401112E-20  3.0973385E+03       Infinity  8.2765828E+00
