# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: nc.surfdens.r13p5x0.rs3p0as.fits
# ABOUT CENTRAL POSITION (X1,Y1): 48,48 (PIXELS)
# TOTAL VALUE:  3.4183266E+26
# TOTAL STDEV:  6.2529085E+21
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  6.8430264E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  6.7292223E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  6.2249308E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  5.9687336E+22  1.0000000E-33  1.0365268E-01
    5   1.2000000E+01  0.0000000E+00  5.7262290E+22  3.4270879E+20  1.1238198E-01
    6   1.5000000E+01  0.0000000E+00  5.4637617E+22  7.4250949E+20  1.4417852E-01
    7   1.8000000E+01  0.0000000E+00  5.2698478E+22  2.5254431E+20  1.9819948E-01
    8   2.1000000E+01  0.0000000E+00  5.1423254E+22  2.9740069E+20  1.9819948E-01
    9   2.4000000E+01  0.0000000E+00  5.0420888E+22  2.3443359E+20  1.9819948E-01
   10   2.7000000E+01  0.0000000E+00  4.9741075E+22  1.4823251E+20  1.5891002E-01
   11   3.0000000E+01  0.0000000E+00  4.9248071E+22  1.2487562E+20  1.4741817E-01
   12   3.3000000E+01  0.0000000E+00  4.8873464E+22  6.6806820E+19  1.1524991E-01
   13   3.6000000E+01  0.0000000E+00  4.8588142E+22  7.0843875E+19  9.4540617E-02
   14   3.9000000E+01  0.0000000E+00  4.8338950E+22  6.3391555E+19  8.0113221E-02
   15   4.2000000E+01  0.0000000E+00  4.8150771E+22  4.3833595E+19  6.7291075E-02
   16   4.5000000E+01  0.0000000E+00  4.8012679E+22  3.5380178E+19  6.4238745E-02
   17   4.8000000E+01  0.0000000E+00  4.7900098E+22  2.4774869E+19  5.2632868E-02
   18   5.1000000E+01  0.0000000E+00  4.7810740E+22  2.3681376E+19  4.1627933E-02
   19   5.4000000E+01  0.0000000E+00  4.7738139E+22  1.7527225E+19  3.6374729E-02
   20   5.7000000E+01  0.0000000E+00  4.7686984E+22  1.1358546E+19  3.0800202E-02
   21   6.0000000E+01  0.0000000E+00  4.7654969E+22  6.9411569E+18  2.6586543E-02
   22   6.3000000E+01  0.0000000E+00  4.7637043E+22  2.6915432E+18  1.9830152E-02
   23   6.6000000E+01  0.0000000E+00  4.7636584E+22  2.3231781E+18  1.3092877E-02
   24   6.9000000E+01  0.0000000E+00  4.7653480E+22  6.9189245E+18  7.7111100E-03
   25   7.2000000E+01  0.0000000E+00  4.7689324E+22  1.2382753E+19  2.0729153E-04
   26   7.5000000E+01  0.0000000E+00  4.7744606E+22  1.8099512E+19 -7.9777069E-03
   27   7.8000000E+01  0.0000000E+00  4.7811948E+22  1.9536771E+19 -1.7667029E-02
   28   8.1000000E+01  0.0000000E+00  4.7872615E+22  1.4358586E+19 -2.8380024E-02
   29   8.4000000E+01  0.0000000E+00  4.7916910E+22  9.2766569E+18 -2.8380024E-02
   30   8.7000000E+01  0.0000000E+00  4.7945132E+22  5.5980303E+18 -2.5430237E-02
   31   9.0000000E+01  0.0000000E+00  4.7958373E+22  1.9243178E+18 -1.6779497E-02
   32   9.3000000E+01  0.0000000E+00  4.7961945E+22  2.2955241E+17 -8.1449709E-03
   33   9.6000000E+01  0.0000000E+00  4.7961367E+22  4.5931591E+17 -2.2716294E-03
   34   9.9000000E+01  0.0000000E+00  4.7959393E+22  6.5616091E+17  3.7949124E-04
   35   1.0200000E+02  0.0000000E+00  4.7956996E+22  7.6659011E+17  1.3376421E-03
   36   1.0500000E+02  0.0000000E+00  4.7954509E+22  6.7941914E+17  1.6743419E-03
   37   1.0800000E+02  0.0000000E+00  4.7951973E+22  7.4807277E+17  1.7895571E-03
   38   1.1100000E+02  0.0000000E+00  4.7949364E+22  7.3555894E+17  1.8768399E-03
   39   1.1400000E+02  0.0000000E+00  4.7946552E+22  8.4824831E+17  1.9862944E-03
   40   1.1700000E+02  0.0000000E+00  4.7943694E+22  8.2667573E+17  2.1988760E-03
   41   1.2000000E+02  0.0000000E+00  4.7940927E+22  7.5729176E+17  2.2796993E-03
   42   1.2300000E+02  0.0000000E+00  4.7937989E+22  8.8213042E+17  2.2948530E-03
   43   1.2600000E+02  0.0000000E+00  4.7934935E+22  8.7350796E+17  2.4817914E-03
   44   1.2900000E+02  0.0000000E+00  4.7931758E+22  9.6307189E+17  2.6435954E-03
   45   1.3200000E+02  0.0000000E+00  4.7928533E+22  9.1622494E+17  2.8166585E-03
   46   1.3500000E+02  0.0000000E+00  4.7925393E+22  8.9880531E+17  2.9157684E-03
   47   1.3800000E+02  0.0000000E+00  4.7922141E+22  9.7713753E+17  2.9266510E-03
