! Date: 14/08/2026  Time: 17:01:53  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.14219076E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  4.6074956E+14  1.0090371E+00  3.0799206E+01  1.4931671E-04  1.1845848E-01  1.5958900E-18  3.4323818E+05  1.5958900E-20  3.4323818E+03       Infinity  6.5791963E+00
    2  9.4980683E+14  5.4032159E-01  6.3490665E+01  3.0780720E-04  2.4419487E-01  1.5951488E-18  3.4307876E+05  1.5951488E-20  3.4307876E+03       Infinity  8.6194033E+00
    3  1.4896595E+15  3.8029108E-01  9.9577588E+01  4.8275913E-04  3.8299072E-01  1.5937535E-18  3.4277865E+05  1.5937535E-20  3.4277865E+03       Infinity  8.7174000E+00
    4  2.0855834E+15  2.9984107E-01  1.3941264E+02  6.7588226E-04  5.3620246E-01  1.5915084E-18  3.4229579E+05  1.5915084E-20  3.4229579E+03       Infinity  8.4284919E+00
    5  2.7434023E+15  2.5161975E-01  1.8338512E+02  8.8906391E-04  7.0532737E-01  1.5881732E-18  3.4157846E+05  1.5881732E-20  3.4157846E+03       Infinity  8.5032047E+00
    6  3.4695448E+15  2.1962272E-01  2.3192475E+02  1.1243874E-03  8.9201826E-01  1.5834512E-18  3.4056289E+05  1.5834512E-20  3.4056289E+03       Infinity  8.4751359E+00
    7  4.2711074E+15  1.9693586E-01  2.8550589E+02  1.3841526E-03  1.0980996E+00  1.5769781E-18  3.3917068E+05  1.5769781E-20  3.3917068E+03       Infinity  8.5350854E+00
    8  5.1559234E+15  1.8008369E-01  3.4465219E+02  1.6708980E-03  1.3255853E+00  1.5685643E-18  3.3736105E+05  1.5685643E-20  3.3736105E+03       Infinity  8.6208094E+00
    9  6.1326398E+15  1.6712789E-01  4.0994165E+02  1.9874259E-03  1.5766986E+00  1.5573809E-18  3.3495578E+05  1.5573809E-20  3.3495578E+03       Infinity  8.6151742E+00
   10  7.2108018E+15  1.5690196E-01  4.8201233E+02  2.3368296E-03  1.8538936E+00  1.5430020E-18  3.3186322E+05  1.5430020E-20  3.3186322E+03       Infinity  8.4811304E+00
   11  8.4009460E+15  1.4866176E-01  5.6156855E+02  2.7225237E-03  2.1598790E+00  1.5247520E-18  3.2793807E+05  1.5247520E-20  3.2793807E+03       Infinity  8.5149286E+00
   12  9.7147032E+15  1.4191015E-01  6.4938780E+02  3.1482776E-03  2.4976454E+00  1.5018849E-18  3.2301990E+05  1.5018849E-20  3.2301990E+03       Infinity  8.4571286E+00
