! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 3502456 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.825     20.10    0.0100       2140    1.0099    1.0099    1.0099
    20.825     20.10    0.0350        152    1.0099    1.0099    1.0237
    20.825     20.30   -0.0100       4476    1.0099    1.0099    1.0099
    20.825     20.30    0.0100      11532    1.0099    1.0099    1.0099
    20.825     20.30    0.0350        336    1.0099    1.0099    1.0099
    20.875     19.10   -0.1500         24    0.9185    0.9185    0.9310
    20.875     19.10    0.0100         24    0.9310    0.9310    0.9566
    20.875     19.30   -0.1500        348    0.9310    0.9566    0.9697
    20.875     19.30   -0.0750       1644    0.9697    0.9829    0.9829
    20.875     19.30   -0.0350       2576    0.9697    0.9829    0.9829
    20.875     19.30   -0.0100       1716    0.9829    0.9963    0.9963
    20.875     19.30    0.0100        136    0.9437    0.9566    0.9829
    20.875     19.30    0.0750         60    1.0518    1.1882    1.2375
    20.875     19.50   -0.0750        728    0.9963    0.9963    0.9963
    20.875     19.50   -0.0350       3720    0.9963    0.9963    1.0099
    20.875     19.50   -0.0100      44984    1.0099    1.0099    1.0099
    20.875     19.50    0.0100      99224    1.0099    1.0099    1.0099
    20.875     19.50    0.0750        104    0.9963    1.0376    1.0807
    20.875     19.70   -0.0100         40    1.0237    1.0237    1.0237
    20.875     19.70    0.0100         76    1.0237    1.0237    1.0237
    20.875     19.70    0.0350         20    1.0099    1.0099    1.0237
    20.875     19.90   -0.0100       3652    1.0099    1.0099    1.0099
    20.875     19.90    0.0100       4868    1.0099    1.0099    1.0237
    20.875     19.90    0.0350         88    1.0237    1.0237    1.0237
    20.875     20.10   -0.0100       3544    1.0099    1.0099    1.0099
    20.875     20.10    0.0100       7100    1.0099    1.0099    1.0099
    20.875     20.10    0.0350         32    1.0237    1.0237    1.0237
    20.925     17.90    0.1500         20    2.7903    2.9859    4.7980
    20.925     18.70   -0.0350         24    0.9061    0.9061    0.9185
    20.925     18.90   -0.1500         64    0.9061    0.9061    0.9061
    20.925     18.90   -0.0750        268    0.9185    0.9310    0.9437
    20.925     18.90    0.0100         80    0.9061    0.9437    0.9566
    20.925     18.90    0.0350         24    1.0661    1.1104    1.1564
    20.925     19.10   -0.1500        184    0.9185    0.9310    0.9437
    20.925     19.10   -0.0750       1036    0.9310    0.9437    0.9566
    20.925     19.10   -0.0350       1552    0.9697    0.9829    0.9829
    20.925     19.10   -0.0100        276    0.9310    0.9437    1.0099
    20.925     19.10    0.0100         68    0.9185    0.9310    0.9963
    20.925     19.10    0.0350         20    1.0661    1.1104    1.1255
