# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: hi.surface.density.r13p5.fits
# ABOUT CENTRAL POSITION (X1,Y1): 54,54 (PIXELS)
# TOTAL VALUE:  4.5603854E+25
# TOTAL STDEV:  9.0788315E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  8.8635806E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  8.8513080E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  8.7767416E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  8.7269217E+21  1.0000000E-33  1.2205229E-02
    5   1.2000000E+01  0.0000000E+00  8.6638375E+21  1.0017468E+19  1.4039511E-02
    6   1.5000000E+01  0.0000000E+00  8.5612714E+21  3.5268228E+19  2.5218600E-02
    7   1.8000000E+01  0.0000000E+00  8.4444511E+21  2.0911664E+19  5.3369443E-02
    8   2.1000000E+01  0.0000000E+00  8.3221221E+21  3.6377706E+19  7.5356714E-02
    9   2.4000000E+01  0.0000000E+00  8.1776733E+21  4.2975079E+19  9.4662365E-02
   10   2.7000000E+01  0.0000000E+00  8.0298982E+21  3.9633167E+19  1.3112731E-01
   11   3.0000000E+01  0.0000000E+00  7.8818993E+21  4.4383148E+19  1.5482557E-01
   12   3.3000000E+01  0.0000000E+00  7.7319361E+21  3.2432292E+19  1.7656473E-01
   13   3.6000000E+01  0.0000000E+00  7.5791063E+21  4.3542308E+19  2.0154821E-01
   14   3.9000000E+01  0.0000000E+00  7.4111433E+21  4.9937416E+19  2.2944139E-01
   15   4.2000000E+01  0.0000000E+00  7.2487989E+21  4.3547215E+19  2.7998265E-01
   16   4.5000000E+01  0.0000000E+00  7.1001213E+21  4.2282063E+19  2.9887386E-01
   17   4.8000000E+01  0.0000000E+00  6.9544436E+21  3.7500043E+19  3.0037756E-01
   18   5.1000000E+01  0.0000000E+00  6.8092353E+21  4.3711331E+19  3.2121984E-01
   19   5.4000000E+01  0.0000000E+00  6.6613415E+21  4.2095467E+19  3.4805976E-01
   20   5.7000000E+01  0.0000000E+00  6.5249694E+21  3.7810088E+19  3.8257254E-01
   21   6.0000000E+01  0.0000000E+00  6.4000931E+21  3.4491469E+19  3.8257254E-01
   22   6.3000000E+01  0.0000000E+00  6.2713629E+21  3.7947915E+19  3.8417675E-01
   23   6.6000000E+01  0.0000000E+00  6.1535659E+21  3.2893457E+19  4.0760894E-01
   24   6.9000000E+01  0.0000000E+00  6.0450199E+21  2.8869999E+19  4.0760894E-01
   25   7.2000000E+01  0.0000000E+00  5.9405774E+21  2.8322718E+19  4.0950645E-01
   26   7.5000000E+01  0.0000000E+00  5.8356398E+21  3.0158808E+19  4.0950645E-01
   27   7.8000000E+01  0.0000000E+00  5.7322793E+21  2.9804479E+19  4.3658873E-01
