# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r500.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 38,38 (PIXELS)
# TOTAL VALUE:  1.1830031E+25
# TOTAL STDEV:  1.7834045E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  3.0404068E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  3.0358089E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  3.0119126E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  2.9952169E+21  1.0000000E-33  1.1401077E-02
    5   1.2000000E+01  0.0000000E+00  2.9752423E+21  3.0192934E+18  1.3709290E-02
    6   1.5000000E+01  0.0000000E+00  2.9452934E+21  9.9233048E+18  2.3258889E-02
    7   1.8000000E+01  0.0000000E+00  2.9134522E+21  5.3069558E+18  4.5338775E-02
    8   2.1000000E+01  0.0000000E+00  2.8834502E+21  8.3688686E+18  5.9618411E-02
    9   2.4000000E+01  0.0000000E+00  2.8514099E+21  8.7493038E+18  6.7149539E-02
   10   2.7000000E+01  0.0000000E+00  2.8226393E+21  7.0568875E+18  8.3680528E-02
   11   3.0000000E+01  0.0000000E+00  2.7976186E+21  6.9669277E+18  8.4507861E-02
   12   3.3000000E+01  0.0000000E+00  2.7757107E+21  4.2184351E+18  8.4507861E-02
   13   3.6000000E+01  0.0000000E+00  2.7572279E+21  4.7066367E+18  8.4507861E-02
   14   3.9000000E+01  0.0000000E+00  2.7406375E+21  4.2523753E+18  8.2485730E-02
   15   4.2000000E+01  0.0000000E+00  2.7279878E+21  2.8386830E+18  7.6783508E-02
   16   4.5000000E+01  0.0000000E+00  2.7190075E+21  2.1862859E+18  7.5400233E-02
   17   4.8000000E+01  0.0000000E+00  2.7121714E+21  1.4557711E+18  6.2426506E-02
   18   5.1000000E+01  0.0000000E+00  2.7070397E+21  1.3012147E+18  4.7792224E-02
   19   5.4000000E+01  0.0000000E+00  2.7030973E+21  9.2200945E+17  3.9005789E-02
   20   5.7000000E+01  0.0000000E+00  2.7003677E+21  6.3077695E+17  3.1239622E-02
   21   6.0000000E+01  0.0000000E+00  2.6984266E+21  4.6803301E+17  2.5497707E-02
   22   6.3000000E+01  0.0000000E+00  2.6968044E+21  4.2906239E+17  1.8686046E-02
   23   6.6000000E+01  0.0000000E+00  2.6955129E+21  3.3163508E+17  1.4019220E-02
   24   6.9000000E+01  0.0000000E+00  2.6944139E+21  2.8074165E+17  1.2325429E-02
   25   7.2000000E+01  0.0000000E+00  2.6933698E+21  2.8190396E+17  1.0296479E-02
   26   7.5000000E+01  0.0000000E+00  2.6922970E+21  3.1432577E+17  9.7593176E-03
   27   7.8000000E+01  0.0000000E+00  2.6911804E+21  3.2879166E+17  9.7593176E-03
   28   8.1000000E+01  0.0000000E+00  2.6901125E+21  2.9440731E+17  1.0515939E-02
   29   8.4000000E+01  0.0000000E+00  2.6890614E+21  2.8658889E+17  1.0577097E-02
   30   8.7000000E+01  0.0000000E+00  2.6879256E+21  3.4023435E+17  1.0746022E-02
   31   9.0000000E+01  0.0000000E+00  2.6867410E+21  3.3344460E+17  1.2038787E-02
   32   9.3000000E+01  0.0000000E+00  2.6854894E+21  3.7323713E+17  1.3002815E-02
   33   9.6000000E+01  0.0000000E+00  2.6842295E+21  3.5559540E+17  1.4210938E-02
   34   9.9000000E+01  0.0000000E+00  2.6829516E+21  3.7500672E+17  1.4780025E-02
   35   1.0200000E+02  0.0000000E+00  2.6816269E+21  4.1793910E+17  1.5474899E-02
   36   1.0500000E+02  0.0000000E+00  2.6803268E+21  3.7678733E+17  1.6542873E-02
   37   1.0800000E+02  0.0000000E+00  1.9970070E+21  1.1696098E+21  1.6729385E-02
