# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r500.cfg.02.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 37,37 (PIXELS)
# TOTAL VALUE:  1.9198196E+25
# TOTAL STDEV:  3.1412715E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  4.9130500E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  4.9087057E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  4.8858860E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  4.8710038E+21  1.0000000E-33  6.7224822E-03
    5   1.2000000E+01  0.0000000E+00  4.8531803E+21  2.9402978E+18  7.5236914E-03
    6   1.5000000E+01  0.0000000E+00  4.8276471E+21  8.2945259E+18  1.2742626E-02
    7   1.8000000E+01  0.0000000E+00  4.8018754E+21  4.0493039E+18  2.3639598E-02
    8   2.1000000E+01  0.0000000E+00  4.7786784E+21  6.1917273E+18  2.9358300E-02
    9   2.4000000E+01  0.0000000E+00  4.7556070E+21  6.0379019E+18  3.1414257E-02
   10   2.7000000E+01  0.0000000E+00  4.7359823E+21  4.6495690E+18  3.5108459E-02
   11   3.0000000E+01  0.0000000E+00  4.7200645E+21  4.3544531E+18  3.5108459E-02
   12   3.3000000E+01  0.0000000E+00  4.7069181E+21  2.4549407E+18  3.5108459E-02
   13   3.6000000E+01  0.0000000E+00  4.6963237E+21  2.6218909E+18  3.1954231E-02
   14   3.9000000E+01  0.0000000E+00  4.6872688E+21  2.2876944E+18  2.9263244E-02
   15   4.2000000E+01  0.0000000E+00  4.6804700E+21  1.5290761E+18  2.5897370E-02
   16   4.5000000E+01  0.0000000E+00  4.6755440E+21  1.2199749E+18  2.4111264E-02
   17   4.8000000E+01  0.0000000E+00  4.6715810E+21  9.0602418E+17  1.9586774E-02
   18   5.1000000E+01  0.0000000E+00  4.6681927E+21  9.3638336E+17  1.5262744E-02
   19   5.4000000E+01  0.0000000E+00  4.6650612E+21  8.3041876E+17  1.3138819E-02
   20   5.7000000E+01  0.0000000E+00  4.6622925E+21  7.3964791E+17  1.1968036E-02
   21   6.0000000E+01  0.0000000E+00  4.6597411E+21  7.0144183E+17  1.1740046E-02
   22   6.3000000E+01  0.0000000E+00  4.6570002E+21  8.2675388E+17  1.1740046E-02
   23   6.6000000E+01  0.0000000E+00  4.6543020E+21  7.6213589E+17  1.2059397E-02
   24   6.9000000E+01  0.0000000E+00  4.6516251E+21  7.3525005E+17  1.2458065E-02
   25   7.2000000E+01  0.0000000E+00  4.6488036E+21  8.0788090E+17  1.2942107E-02
   26   7.5000000E+01  0.0000000E+00  4.6457221E+21  9.4122584E+17  1.4256726E-02
   27   7.8000000E+01  0.0000000E+00  4.6424022E+21  1.0354386E+18  1.6243218E-02
   28   8.1000000E+01  0.0000000E+00  4.6392103E+21  9.7967905E+17  1.8224313E-02
   29   8.4000000E+01  0.0000000E+00  4.6360881E+21  9.9092388E+17  1.8226536E-02
   30   8.7000000E+01  0.0000000E+00  4.6326926E+21  1.2537507E+18  1.8511840E-02
   31   9.0000000E+01  0.0000000E+00  4.6293278E+21  1.4420269E+18  2.0878806E-02
   32   9.3000000E+01  0.0000000E+00  4.6258059E+21  1.8550615E+18  2.1432509E-02
   33   9.6000000E+01  0.0000000E+00  4.6226640E+21  2.1587330E+18  2.1432509E-02
   34   9.9000000E+01  0.0000000E+00  4.6192647E+21  2.7847556E+18  2.3210187E-02
   35   1.0200000E+02  0.0000000E+00  4.6161489E+21  3.3744805E+18  2.3210187E-02
   36   1.0500000E+02  0.0000000E+00  3.2939637E+21  2.0886222E+21  2.3905593E-02
