# radiative transfer cores injected into simsky2.w160
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i06j19k15     1082  1487     0.1216      43.20      1.2e+22      69.85     9.70    1.005e+22
i06j19k15       78   727     0.1216      43.20      1.2e+22      69.85     9.70     1.25e+22
i06j19k15      735   298     0.1216      43.20      1.2e+22      69.85     9.70    1.251e+22
i06j19k15     1190   140     0.1216      43.20      1.2e+22      69.85     9.70    9.554e+21
i06j19k15      361   175     0.1216      43.20      1.2e+22      69.85     9.70     1.31e+22
i06j19k15      336   537     0.1216      43.20      1.2e+22      69.85     9.70    1.045e+22
i06j19k15     1142   331     0.1216      43.20      1.2e+22      69.85     9.70    9.716e+21
i06j19k15       76   596     0.1216      43.20      1.2e+22      69.85     9.70      9.9e+21
i08j19k09      976   993     0.1218      11.77      4.8e+22      19.13     7.53    4.328e+22
i08j19k09      842   682     0.1218      11.77      4.8e+22      19.13     7.53    4.406e+22
i08j19k09      967  1135     0.1218      11.77      4.8e+22      19.13     7.53    3.995e+22
i08j19k09     1486   897     0.1218      11.77      4.8e+22      19.13     7.53    3.443e+22
i08j19k09      953   643     0.1218      11.77      4.8e+22      19.13     7.53    3.567e+22
i08j19k09      488  1129     0.1218      11.77      4.8e+22      19.13     7.53     3.49e+22
i08j19k09      890   936     0.1218      11.77      4.8e+22      19.13     7.53    5.619e+22
i08j19k09     1051   877     0.1218      11.77      4.8e+22      19.13     7.53     5.27e+22
i07j20k04     1422   664     0.1808       9.76      2.4e+22      15.73     7.69    3.296e+22
i07j20k04     1586   883     0.1808       9.76      2.4e+22      15.73     7.69    2.893e+22
i07j20k04     1292   613     0.1808       9.76      2.4e+22      15.73     7.69    1.716e+22
i07j20k04      402   865     0.1808       9.76      2.4e+22      15.73     7.69    2.193e+22
i07j20k04      881  1164     0.1808       9.76      2.4e+22      15.73     7.69    2.805e+22
i07j20k04      735   549     0.1808       9.76      2.4e+22      15.73     7.69     1.73e+22
i07j20k04     1431   243     0.1808       9.76      2.4e+22      15.73     7.69    2.351e+22
i07j20k04     1507  1372     0.1808       9.76      2.4e+22      15.73     7.69    1.883e+22
i06j21k10      164  1040     0.2682      16.75      1.2e+22      23.67     8.79    1.088e+22
i06j21k10     1430  1622     0.2682      16.75      1.2e+22      23.67     8.79    1.212e+22
i06j21k10     1412   529     0.2682      16.75      1.2e+22      23.67     8.79    1.076e+22
i06j21k10     1506   594     0.2682      16.75      1.2e+22      23.67     8.79    1.113e+22
i06j21k10     1537   264     0.2682      16.75      1.2e+22      23.67     8.79    1.447e+22
i06j21k10      375   336     0.2682      16.75      1.2e+22      23.67     8.79    8.665e+21
i06j21k10     1335   762     0.2682      16.75      1.2e+22      23.67     8.79    1.468e+22
