# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r500.cfg.02.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.9536929E+26
# TOTAL STDEV:  5.1996881E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  1.0323227E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  1.0288774E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  1.0108121E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  9.9801828E+21  1.0000000E-33  2.5556188E-02
    5   1.2000000E+01  0.0000000E+00  9.8248634E+21  2.3664852E+19  3.1415179E-02
    6   1.5000000E+01  0.0000000E+00  9.5862928E+21  8.0075666E+19  5.4522521E-02
    7   1.8000000E+01  0.0000000E+00  9.3245355E+21  4.4639062E+19  1.1016230E-01
    8   2.1000000E+01  0.0000000E+00  9.0666025E+21  7.3731613E+19  1.5184766E-01
    9   2.4000000E+01  0.0000000E+00  8.7756633E+21  8.2173955E+19  1.8197477E-01
   10   2.7000000E+01  0.0000000E+00  8.4956843E+21  7.1893585E+19  2.4425159E-01
   11   3.0000000E+01  0.0000000E+00  8.2307192E+21  7.7079059E+19  2.7528627E-01
   12   3.3000000E+01  0.0000000E+00  7.9754603E+21  5.2213047E+19  3.0072841E-01
   13   3.6000000E+01  0.0000000E+00  7.7326570E+21  6.6196315E+19  3.3054217E-01
   14   3.9000000E+01  0.0000000E+00  7.4814661E+21  7.0118087E+19  3.5531946E-01
   15   4.2000000E+01  0.0000000E+00  7.2551783E+21  5.6358880E+19  4.1257682E-01
   16   4.5000000E+01  0.0000000E+00  7.0616624E+21  5.1857838E+19  4.1257682E-01
   17   4.8000000E+01  0.0000000E+00  6.8826951E+21  4.3045025E+19  4.1257682E-01
   18   5.1000000E+01  0.0000000E+00  6.7157685E+21  4.7625996E+19  4.0498454E-01
   19   5.4000000E+01  0.0000000E+00  6.5550889E+21  4.2699475E+19  4.0498454E-01
   20   5.7000000E+01  0.0000000E+00  6.4157245E+21  3.6204721E+19  4.0498454E-01
   21   6.0000000E+01  0.0000000E+00  6.2953301E+21  3.1657935E+19  4.0498454E-01
   22   6.3000000E+01  0.0000000E+00  6.1781160E+21  3.3036586E+19  3.9746363E-01
   23   6.6000000E+01  0.0000000E+00  6.0758386E+21  2.6964150E+19  3.8521559E-01
   24   6.9000000E+01  0.0000000E+00  5.9863653E+21  2.2723774E+19  3.6932347E-01
   25   7.2000000E+01  0.0000000E+00  5.9037308E+21  2.1679623E+19  3.5884255E-01
   26   7.5000000E+01  0.0000000E+00  5.8246276E+21  2.2069407E+19  3.3374564E-01
   27   7.8000000E+01  0.0000000E+00  5.7502667E+21  2.0655642E+19  3.3044477E-01
   28   8.1000000E+01  0.0000000E+00  5.6867324E+21  1.6561829E+19  3.2760334E-01
   29   8.4000000E+01  0.0000000E+00  5.6309830E+21  1.4362377E+19  3.2760334E-01
   30   8.7000000E+01  0.0000000E+00  5.5774007E+21  1.5146908E+19  2.9439102E-01
   31   9.0000000E+01  0.0000000E+00  5.5275615E+21  1.3263652E+19  2.7246599E-01
   32   9.3000000E+01  0.0000000E+00  5.4806775E+21  1.3194995E+19  2.7089429E-01
   33   9.6000000E+01  0.0000000E+00  5.4382655E+21  1.1413699E+19  2.6476912E-01
   34   9.9000000E+01  0.0000000E+00  5.3995876E+21  1.0774647E+19  2.5977662E-01
   35   1.0200000E+02  0.0000000E+00  5.3630566E+21  1.0763206E+19  2.4468907E-01
   36   1.0500000E+02  0.0000000E+00  5.3299170E+21  8.5904666E+18  2.3195353E-01
   37   1.0800000E+02  0.0000000E+00  5.2994291E+21  8.5786846E+18  2.2739811E-01
   38   1.1100000E+02  0.0000000E+00  5.2707583E+21  7.6612994E+18  2.1382996E-01
   39   1.1400000E+02  0.0000000E+00  5.2429159E+21  8.0650909E+18  2.0363425E-01
   40   1.1700000E+02  0.0000000E+00  5.2170582E+21  7.2132421E+18  1.9860420E-01
   41   1.2000000E+02  0.0000000E+00  5.1941040E+21  5.9902841E+18  1.9799542E-01
   42   1.2300000E+02  0.0000000E+00  5.1718771E+21  6.4008247E+18  1.9033846E-01
   43   1.2600000E+02  0.0000000E+00  5.1505080E+21  5.8519272E+18  1.7416740E-01
   44   1.2900000E+02  0.0000000E+00  5.1301809E+21  5.9308323E+18  1.7367290E-01
   45   1.3200000E+02  0.0000000E+00  5.1112194E+21  5.2263240E+18  1.7181648E-01
   46   1.3500000E+02  0.0000000E+00  5.0939900E+21  4.7001726E+18  1.6805525E-01
   47   1.3800000E+02  0.0000000E+00  5.0775460E+21  4.7599321E+18  1.6106993E-01
   48   1.4100000E+02  0.0000000E+00  5.0617118E+21  4.3423826E+18  1.5025173E-01
   49   1.4400000E+02  0.0000000E+00  5.0465081E+21  4.2919735E+18  1.4711064E-01
   50   1.4700000E+02  0.0000000E+00  5.0321447E+21  3.9069046E+18  1.4523022E-01
   51   1.5000000E+02  0.0000000E+00  5.0180600E+21  4.1655103E+18  1.4288423E-01
   52   1.5300000E+02  0.0000000E+00  5.0047770E+21  3.7980023E+18  1.3873699E-01
   53   1.5600000E+02  0.0000000E+00  4.9926415E+21  3.3211952E+18  1.3823249E-01
   54   1.5900000E+02  0.0000000E+00  4.9809515E+21  3.3685466E+18  1.3384854E-01
   55   1.6200000E+02  0.0000000E+00  4.9698013E+21  2.9254910E+18  1.2502444E-01
