! Date: 14/08/2026  Time: 23:54:37  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.15715705E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  4.4820709E+14  1.1283729E+00  2.9960794E+01  1.4525203E-04  1.1523382E-01  2.0432522E-18  4.3945520E+05  2.0432522E-20  4.3945520E+03       Infinity  6.4609034E+00
    2  9.9445820E+14  5.9002729E-01  6.6475425E+01  3.2227752E-04  2.5567471E-01  2.0417439E-18  4.3913079E+05  2.0417439E-20  4.3913079E+03       Infinity  5.3712448E+00
    3  1.6282106E+15  4.1809533E-01  1.0883915E+02  5.2765985E-04  4.1861213E-01  2.0386297E-18  4.3846099E+05  2.0386297E-20  4.3846099E+03       Infinity  6.6371169E+00
    4  2.3634805E+15  3.3416511E-01  1.5798892E+02  7.6594135E-04  6.0764968E-01  2.0331776E-18  4.3728839E+05  2.0331776E-20  4.3728839E+03       Infinity  6.6460274E+00
    5  3.2165298E+15  2.8487400E-01  2.1501173E+02  1.0423920E-03  8.2696821E-01  2.0243882E-18  4.3539800E+05  2.0243882E-20  4.3539800E+03       Infinity  6.2973467E+00
    6  4.2062247E+15  2.5274069E-01  2.8116875E+02  1.3631258E-03  1.0814183E+00  2.0111346E-18  4.3254746E+05  2.0111346E-20  4.3254746E+03       Infinity  8.6568079E+00
    7  5.3544539E+15  2.3034549E-01  3.5792314E+02  1.7352365E-03  1.3766274E+00  1.9915686E-18  4.2833928E+05  1.9915686E-20  4.2833928E+03       Infinity  8.2326585E+00
    8  6.6866122E+15  2.1400110E-01  4.4697242E+02  2.1669537E-03  1.7191247E+00  1.9635080E-18  4.2230409E+05  1.9635080E-20  4.2230409E+03       Infinity  7.9121160E+00
    9  8.2321624E+15  2.0166729E-01  5.5028607E+02  2.6678255E-03  2.1164849E+00  1.9243111E-18  4.1387377E+05  1.9243111E-20  4.1387377E+03       Infinity  7.9922055E+00
   10  1.0025286E+16  1.9212322E-01  6.7014901E+02  3.2489294E-03  2.5774962E+00  1.8708268E-18  4.0237057E+05  1.8708268E-20  4.0237057E+03       Infinity  8.0325586E+00
   11  1.2105642E+16  1.8459336E-01  8.0921220E+02  3.9231175E-03  3.1123546E+00  1.7996061E-18  3.8705268E+05  1.7996061E-20  3.8705268E+03       Infinity  8.1152475E+00
   12  1.4519240E+16  1.7856127E-01  9.7055123E+02  4.7053005E-03  3.7328894E+00  1.7073154E-18  3.6720314E+05  1.7073154E-20  3.6720314E+03       Infinity  8.3703498E+00
   13  1.7319459E+16  1.7366971E-01  1.1577344E+03  5.6127774E-03  4.4528245E+00  1.5914147E-18  3.4227565E+05  1.5914147E-20  3.4227565E+03       Infinity  8.4119148E+00
   14  2.0568232E+16  1.6966360E-01  1.3749014E+03  6.6656185E-03  5.2880824E+00  1.4511545E-18  3.1210900E+05  1.4511545E-20  3.1210900E+03       Infinity  8.3749852E+00
   15  2.4337410E+16  1.6635603E-01  1.6268554E+03  7.8871091E-03  6.2571361E+00  1.2886193E-18  2.7715151E+05  1.2886193E-20  2.7715151E+03       Infinity  8.4295387E+00
   16  2.8710354E+16  1.6360690E-01  1.9191686E+03  9.3042640E-03  7.3814177E+00  1.1094903E-18  2.3862512E+05  1.1094903E-20  2.3862512E+03       Infinity  8.4687654E+00
   17  3.3783777E+16  1.6130923E-01  2.2583060E+03  1.0948426E-02  8.6857924E+00  9.2291596E-19  1.9849738E+05  9.2291596E-21  1.9849738E+03       Infinity  8.6138450E+00
   18  3.9669887E+16  1.5937996E-01  2.6517682E+03  1.2855958E-02  1.0199108E+01  7.4015316E-19  1.5918943E+05  7.4015316E-21  1.5918943E+03       Infinity  8.7197284E+00
   19  4.6498864E+16  1.5775371E-01  3.1082571E+03  1.5069048E-02  1.1954835E+01  5.7219821E-19  1.2306629E+05  5.7219821E-21  1.2306629E+03       Infinity  8.9867570E+00
   20  5.4421740E+16  1.5637840E-01  3.6378686E+03  1.7636642E-02  1.3991802E+01  4.2731149E-19  9.1904589E+04  4.2731149E-21  9.1904589E+02       Infinity  9.3569365E+00
   21  6.3613742E+16  1.5521207E-01  4.2523160E+03  2.0615527E-02  1.6355062E+01  3.0954568E-19  6.6575951E+04  3.0954568E-21  6.6575951E+02       Infinity  9.7349149E+00
   22  7.4278166E+16  1.5422064E-01  4.9651887E+03  2.4071583E-02  1.9096880E+01  2.1876438E-19  4.7051041E+04  2.1876438E-21  4.7051041E+02       Infinity  1.0118885E+01
   23  8.6650870E+16  1.5337621E-01  5.7922529E+03  2.8081249E-02  2.2277896E+01  1.5182514E-19  3.2653995E+04  1.5182514E-21  3.2653995E+02       Infinity  1.0488426E+01
   24  1.0100550E+17  1.5265575E-01  6.7518004E+03  3.2733202E-02  2.5968463E+01  1.0416162E-19  2.2402700E+04  1.0416162E-21  2.2402700E+02       Infinity  1.0865795E+01
   25  1.1765952E+17  1.5204018E-01  7.8650530E+03  3.8130329E-02  3.0250204E+01  7.1077327E-20  1.5287051E+04  7.1077327E-22  1.5287051E+02       Infinity  1.1281340E+01
   26  1.3698127E+17  1.5151356E-01  9.1566320E+03  4.4391995E-02  3.5217816E+01  4.8493678E-20  1.0429842E+04  4.8493678E-22  1.0429842E+02       Infinity  1.1625636E+01
   27  1.5939807E+17  1.5106258E-01  1.0655103E+04  5.1656685E-02  4.0981164E+01  3.3218291E-20  7.1444683E+03  3.3218291E-22  7.1444683E+01       Infinity  1.1968846E+01
   28  1.8540570E+17  1.5067601E-01  1.2393606E+04  6.0085071E-02  4.7667715E+01  2.2916245E-20  4.9287419E+03  2.2916245E-22  4.9287419E+01       Infinity  1.2305548E+01
   29  2.1557937E+17  1.5034439E-01  1.4410591E+04  6.9863557E-02  5.5425351E+01  1.5954427E-20  3.4314198E+03  1.5954427E-22  3.4314198E+01       Infinity  1.2581728E+01
   30  2.5058642E+17  1.5005974E-01  1.6750667E+04  8.1208410E-02  6.4425643E+01  1.1223455E-20  2.4138996E+03  1.1223455E-22  2.4138996E+01       Infinity  1.2841399E+01
   31  2.9120106E+17  1.4981524E-01  1.9465589E+04  9.4370539E-02  7.4867648E+01  7.9819211E-21  1.7167223E+03  7.9819211E-23  1.7167223E+01       Infinity  1.3100336E+01
   32  3.3832156E+17  1.4960514E-01  2.2615400E+04  1.0964104E-01  8.6982306E+01  5.7385985E-21  1.2342367E+03  5.7385985E-23  1.2342367E+01       Infinity  1.3330902E+01
   33  3.7046061E+17  3.6882327E-02  2.4763762E+04  1.2005646E-01  9.5245239E+01  4.7289317E-21  1.0170813E+03  4.7289317E-23  1.0170813E+01       Infinity  1.3480717E+01
   34  3.9982179E+17  1.1269747E-01  2.6726436E+04  1.2957164E-01  1.0279398E+02  6.1616836E-22  1.3252323E+02  6.1616836E-24  1.3252323E+00       Infinity  1.3599282E+01
   35  4.5641564E+17  1.4926920E-01  3.0509501E+04  1.4791220E-01  1.1734423E+02  6.1616836E-22  1.3252323E+02  6.1616836E-24  1.3252323E+00       Infinity  1.3702545E+01
   36  5.3003930E+17  1.4926920E-01  3.5430939E+04  1.7177168E-01  1.3627284E+02  6.1616836E-22  1.3252323E+02  6.1616836E-24  1.3252323E+00       Infinity  1.3768686E+01
   37  6.2255449E+17  1.7012460E-01  4.1615197E+04  2.0175340E-01  1.6005845E+02  6.1616836E-22  1.3252323E+02  6.1616836E-24  1.3252323E+00       Infinity  1.3804943E+01
   38  7.4676643E+17  1.9083884E-01  4.9918252E+04  2.4200719E-01  1.9199328E+02  6.1616836E-22  1.3252323E+02  6.1616836E-24  1.3252323E+00       Infinity  1.3842281E+01
