! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21524935 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.875     19.30    0.0750         68    1.0376    1.0954    1.3423
    20.875     19.30    0.1500         22    1.2889    1.4171    2.0710
    20.875     19.50   -0.1500         84    0.9185    0.9185    0.9310
    20.875     19.50   -0.0750       1424    0.9437    0.9566    0.9697
    20.875     19.50   -0.0350       1904    0.9566    0.9829    1.0099
    20.875     19.50   -0.0100        172    0.9437    0.9697    0.9963
    20.875     19.50    0.0100         52    0.9566    0.9697    0.9697
    20.875     19.70   -0.0750         76    0.9829    0.9829    0.9829
    20.875     19.70   -0.0350       1656    0.9829    0.9963    1.0099
    20.875     19.70   -0.0100      28596    1.0099    1.0099    1.0099
    20.875     19.70    0.0100      34996    1.0099    1.0099    1.0099
    20.875     19.70    0.0350        392    1.0099    1.0099    1.0099
    20.875     19.90   -0.0100      65160    1.0099    1.0099    1.0099
    20.875     19.90    0.0100      91454    1.0099    1.0099    1.0099
    20.875     19.90    0.0350        636    1.0099    1.0099    1.0099
    20.925     18.30    0.0350         44    1.0237    1.0376    1.1104
    20.925     18.30    0.0750         48    1.2209    1.6673    1.9093
    20.925     18.50    0.0100         64    0.9061    0.9310    0.9697
    20.925     18.50    0.0350         88    0.9829    1.0954    1.4960
    20.925     18.50    0.0750        100    1.2209    1.6901    1.9617
    20.925     18.50    0.1500         34    2.0431    3.1523    3.3732
    20.925     18.70    0.0350         68    0.9829    0.9963    1.0237
    20.925     18.70    0.0750         52    1.2544    1.4960    2.2162
    20.925     18.70    0.1500         70    1.7131    2.3396    3.2389
    20.925     18.90   -0.1500        136    0.9061    0.9185    0.9310
    20.925     18.90   -0.0750         72    0.9061    0.9061    0.9310
    20.925     18.90   -0.0350         36    0.9061    0.9061    0.9310
    20.925     18.90    0.0750         44    1.0237    1.0807    1.1104
    20.925     18.90    0.1500         38    1.2544    1.3792    1.5164
    20.925     19.10   -0.1500        104    0.9061    0.9185    0.9437
    20.925     19.10   -0.0750        832    0.9185    0.9437    0.9566
    20.925     19.10   -0.0350        144    0.9185    0.9566    0.9697
    20.925     19.10   -0.0100         56    0.9310    0.9437    0.9829
    20.925     19.10    0.0100         40    0.9437    0.9697    0.9697
    20.925     19.10    0.0350         20    0.9566    0.9829    1.0099
    20.925     19.10    0.0750        248    1.0099    1.0099    1.0099
    20.925     19.10    0.1500         32    1.0661    1.1255    1.1722
    20.925     19.30   -0.1500         20    0.9310    0.9310    0.9437
    20.925     19.30   -0.0750        840    0.9566    0.9697    0.9829
    20.925     19.30   -0.0350       1104    0.9829    0.9963    1.0099
    20.925     19.30   -0.0100        168    0.9697    0.9963    1.0099
    20.925     19.30    0.0100         24    1.0099    1.0099    1.0099
    20.925     19.30    0.0350         72    1.0099    1.0099    1.0237
    20.925     19.30    0.0750        212    1.0099    1.0099    1.0099
    20.925     19.50   -0.0350       1124    0.9963    1.0099    1.0099
    20.925     19.50   -0.0100      22980    1.0099    1.0099    1.0099
    20.925     19.50    0.0100      22640    1.0099    1.0099    1.0099
    20.925     19.50    0.0350        596    1.0099    1.0237    1.0237
    20.925     19.70   -0.0100      48340    1.0099    1.0099    1.0099
    20.925     19.70    0.0100      58319    1.0099    1.0099    1.0099
    20.925     19.70    0.0350       1288    1.0099    1.0099    1.0099
    20.975     17.90    0.0350         28    1.0237    1.1564    1.2044
    20.975     18.10    0.0350        124    1.0237    1.1722    1.2209
    20.975     18.10    0.0750         72    1.3980    1.6901    2.3396
    20.975     18.10    0.1500         49    2.2771    2.7903    4.2471
    20.975     18.30    0.0100         20    0.9061    0.9185    0.9310
    20.975     18.30    0.0350         48    0.9963    1.0237    1.0954
