! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 1815 nodes measured, 0 not measured, 21559607 pixels
! 21559607 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.825     20.10    0.0100     111520    1.0048    1.0048    1.0048
    20.875     18.70   -0.1500        312    0.7357    0.7559    0.7767
    20.875     18.70   -0.0750        128    0.7160    0.7357    0.7457
    20.875     18.70   -0.0350        140    0.7457    0.7457    0.7980
    20.875     18.70   -0.0100        108    0.8199    0.8311    0.8540
    20.875     18.70    0.0100         52    0.8656    0.8894    0.9389
    20.875     18.70    0.0350         56    0.9647    1.1663    1.1822
    20.875     18.70    0.0750         52    1.4291    1.6145    2.0605
    20.875     18.90   -0.6000         36    0.7980    0.8089    0.8089
    20.875     18.90   -0.1500        832    0.7662    0.7980    0.8311
    20.875     18.90   -0.0750        364    0.7457    0.7662    0.7980
    20.875     18.90   -0.0350        148    0.7767    0.7980    0.8199
    20.875     18.90   -0.0100        124    0.8089    0.8199    0.8540
    20.875     18.90    0.0100         72    0.8774    0.9015    0.9517
    20.875     18.90    0.0350        156    0.9779    1.0752    1.2312
    20.875     18.90    0.0750        104    1.3355    1.6365    2.1753
    20.875     18.90    0.1500         48    1.9518    2.5594    3.4483
    20.875     19.10   -0.6000         24    0.8089    0.8199    0.8199
    20.875     19.10   -0.1500       1192    0.8089    0.8540    0.8774
    20.875     19.10   -0.0750        268    0.8199    0.8656    0.9015
    20.875     19.10   -0.0350        100    0.8199    0.8656    0.8656
    20.875     19.10   -0.0100         72    0.8311    0.8656    0.8894
    20.875     19.10    0.0100         52    0.8774    0.9138    0.9263
    20.875     19.10    0.0350        112    0.9517    0.9779    1.2823
    20.875     19.10    0.0750        104    1.0752    1.1983    1.7513
    20.875     19.10    0.1500         56    1.2650    1.5087    2.9707
    20.875     19.30   -0.1500        880    0.8774    0.9015    0.9263
    20.875     19.30   -0.0750       1088    0.9015    0.9263    0.9517
    20.875     19.30   -0.0350        160    0.9015    0.9389    0.9647
    20.875     19.30   -0.0100         24    0.9015    0.9138    0.9138
    20.875     19.30    0.0350         60    0.9647    0.9912    0.9912
    20.875     19.30    0.0750         68    1.0324    1.0899    1.3537
    20.875     19.30    0.1500         22    1.2998    1.4291    2.0886
    20.875     19.50   -0.1500         84    0.9138    0.9263    0.9389
    20.875     19.50   -0.0750       1424    0.9389    0.9517    0.9647
    20.875     19.50   -0.0350       1904    0.9647    0.9912    1.0048
