# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    5.510084e+01   4.106000e+22      1.88529       20.290
    2.811905e+00   3.617000e+22      1.74288       24.130
    1.175829e-01   2.800000e+21      1.23571       59.230
    1.726823e-01   1.980000e+21      1.47545       45.400
    5.587865e-01   6.281000e+21      1.28658       63.320
    1.778173e-01   8.398000e+21      1.38902       36.190
    3.923070e-01   1.361000e+22      1.71198       27.820
    5.362525e-01   9.893000e+21      1.76054       28.590
    2.344085e-02   2.596000e+21      1.30054       27.220
    1.096325e-02   4.771000e+21      1.15902       22.390
    4.182527e+00   3.100000e+22      1.47226       76.760
    8.346360e-01   1.034000e+22      1.31528       54.110
    2.646405e-02   1.429000e+22      1.24829       22.420
    7.646545e-02   3.498000e+21      1.46026       32.440
    4.648818e-01   4.142000e+21      1.33535       38.970
    1.299375e-01   2.612000e+21      1.69181       28.160
    1.732667e-01   4.144000e+21      1.43147       32.660
    2.598184e-02   2.315000e+21      1.36704       31.450
    1.463768e-01   6.638000e+21      1.28849       55.200
    2.698660e+00   4.914000e+22      1.92837       32.450
    6.385474e-03   2.922000e+21      1.31348       16.090
    1.661628e-01   4.902000e+21      1.23990       39.770
    2.693539e-01   6.936000e+21      1.37832       41.620
    4.010318e-01   1.365000e+22      1.76703       24.630
    1.849515e-03   3.150000e+21      1.27829       14.510
    2.333868e-01   5.873000e+21      1.41938       40.130
    4.984459e-02   2.580000e+21      1.09798       49.380
    2.720732e-01   8.137000e+21      1.45877       48.510
    3.937988e-02   2.279000e+21      1.12593       52.490
    6.713987e-02   3.137000e+21      1.44310       32.470
    2.080652e-01   5.506000e+21      1.41991       39.550
    2.293185e-01   9.297000e+21      2.31548       26.490
    8.996735e-01   1.708000e+22      2.06499       25.830
    3.466154e-03   2.004000e+21      1.17745       16.420
    2.873751e-01   6.397000e+21      1.35532       31.660
    5.006371e-01   7.937000e+21      1.34219       51.960
    3.391712e-04   2.635000e+21      1.20603       14.870
    2.678531e-03   2.743000e+21      1.20445       15.390
    3.460290e-01   6.568000e+21      1.33359       51.330
    6.683261e-01   1.225000e+22      2.10204       25.090
    5.248830e-02   3.591000e+21      1.23609       30.590
    6.507266e-01   7.180000e+21      2.18106       31.030
    1.668346e-01   5.326000e+21      1.64758       24.250
    2.528916e-01   3.572000e+21      1.38970       26.880
    1.855933e-01   8.727000e+21      1.59803       25.260
    4.554713e-01   2.274000e+22      1.66755       31.040
    3.879000e-01   7.113000e+21      2.17784       24.780
    1.593467e-01   6.411000e+21      1.24832       60.540
    2.995706e-01   1.197000e+22      1.68571       32.300
    3.608247e-01   7.592000e+21      1.35906       45.050
    1.705756e-01   3.235000e+21      1.66646       25.990
    7.933361e-01   8.386000e+21      1.27069       87.330
    3.906393e-01   7.362000e+21      2.23716       27.970
    1.447267e-01   5.515000e+21      1.41940       32.510
    6.998909e-01   1.050000e+22      1.37848       66.410
    1.090765e-01   3.688000e+21      1.52061       30.660
    3.929118e-01   1.094000e+22      1.37468       58.220
    1.380733e-01   4.452000e+21      1.39712       24.630
    1.106313e+00   1.497000e+22      1.42966       39.970
    7.175178e-01   6.738000e+21      1.39210       56.210
    7.164792e-01   1.809000e+22      1.67330       19.710
