! Date: 14/08/2026  Time: 14:23:05  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.34935381E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  3.0045470E+01  1.4566254E-04  1.1555950E-01  1.7716005E+22  4.8830183E-03  1.7341242E+22  4.9894177E-03
    2  8.1020247E+02  3.9279184E-03  3.1161633E+00  1.7433280E+22  4.8830183E-03  1.7058517E+22  4.9894177E-03
    3  1.5903595E+03  7.7101743E-03  6.1167672E+00  1.6636704E+22  4.8830183E-03  1.6261941E+22  4.9894177E-03
    4  2.3705165E+03  1.1492430E-02  9.1173710E+00  1.5446140E+22  4.8830183E-03  1.5071376E+22  4.9894177E-03
    5  3.1506735E+03  1.5274686E-02  1.2117975E+01  1.4034539E+22  6.9346830E-02  1.3659775E+22  7.0907340E-02
    6  3.9308305E+03  1.9056942E-02  1.5118579E+01  1.2506078E+22  1.8602691E-01  1.2131315E+22  1.9048112E-01
    7  4.7109875E+03  2.2839198E-02  1.8119183E+01  1.1049364E+22  3.3685395E-01  1.0674601E+22  3.4565565E-01
    8  5.4911445E+03  2.6621454E-02  2.1119786E+01  9.6625121E+21  5.2119618E-01  9.2877488E+21  5.3637796E-01
    9  6.2713015E+03  3.0403709E-02  2.4120390E+01  8.4246134E+21  6.8403241E-01  8.0498501E+21  7.0657383E-01
   10  7.0514585E+03  3.4185965E-02  2.7120994E+01  7.3753446E+21  8.7522808E-01  7.0005813E+21  9.0819454E-01
   11  7.8316155E+03  3.7968221E-02  3.0121598E+01  6.4112542E+21  1.0319832E+00  6.0364909E+21  1.0767463E+00
   12  8.6117725E+03  4.1750477E-02  3.3122202E+01  5.5473843E+21  1.1344504E+00  5.1726210E+21  1.1911267E+00
