node_key,M_BE_Msun,M_reported_Msun,M_corrected_3axis_Msun,M_corrected_4axis_Msun,theta_BE_arcsec,bounded_3axis,bounded_4axis
102004,0.0122694,0.010974262540245625,0.014900484105627937,0.012906931584171746,5.93,0,0
102005,0.0122751,0.01083938994874994,0.01520727188445067,0.013002671791465492,9.53,0,0
103004,0.0188446,0.016209713782443545,0.021722486381292736,0.01903413031453869,6.08,0,0
103005,0.0188219,0.01690093194415111,0.02264448257557872,0.02080293756654721,9.68,0,0
103006,0.0188358,0.01596040227656276,0.02314838242738195,0.0188348355565636,15.87,0,0
104004,0.0289527,0.025223830715015938,0.03589529799574035,0.02929848807133062,6.16,0,0
104005,0.0289459,0.025419244116066123,0.03367609301543869,0.03154770519690584,9.86,0,0
104006,0.0289469,0.02500123107271825,0.03633163963856989,0.030120687157117302,16.10,0,0
105004,0.044432,0.03952329717397167,0.05561569521461066,0.04631672423996895,6.37,0,0
105005,0.0444451,0.04076128475689956,0.050058624245106875,0.053500688732430725,9.99,0,0
105006,0.0443912,0.03886879431906612,0.05634513340054743,0.04584026396886552,15.98,0,0
105007,0.0444518,0.03796239749271392,0.0488082881210069,0.042857163438033176,26.04,0,0
106004,0.0682067,0.05644648860185064,0.07964021080961083,0.06572550626068997,6.73,0,0
106005,0.0682498,0.06007425918222738,0.08667991579046733,0.07063910661605029,10.31,0,0
106006,0.0681806,0.060095846265089875,0.0873626785106924,0.07271471980378602,16.31,0,0
106007,0.0682152,0.0606444272141844,0.07585154911912795,0.0678473539493015,26.35,0,0
106008,0.0682861,0.05520727845872907,0.06594315949442972,0.05988068605284928,41.90,0,0
107004,0.104835,0.08371810560785997,0.11475175635477017,0.09896054553369439,7.47,0,0
107005,0.104717,0.08728947943532964,0.12354496452290879,0.10624021527255723,10.81,0,0
107006,0.104684,0.09198332059397825,0.13352027629648963,0.11354178562961664,16.66,0,0
107007,0.104736,0.09385475578239427,0.11818663719270983,0.10556180513008737,26.47,0,0
107008,0.104797,0.09012938346257368,0.12142019725583547,0.10190612973638812,42.80,0,0
107009,0.104643,0.07513089703380121,0.09660073565684496,0.09233841872759047,67.85,0,0
108001,0.160977,0.11449059810722541,0.1554714834915194,0.14165520341085427,10.78,0,0
108002,0.160981,0.11840772316421905,0.1675020569502177,0.13966714056916502,8.79,0,0
108003,0.160949,0.11962286728565545,0.1675766714001011,0.1405837666428971,8.05,0,0
108004,0.160948,0.1306722560185653,0.18849230870245923,0.1528787103800164,8.91,0,0
108005,0.160856,0.13535262341739618,0.1958418808575076,0.16095088572317365,11.76,0,0
108006,0.160826,0.13986342105014493,0.20326602837476515,0.16804186595482273,17.29,0,0
108007,0.160737,0.140875992055334,0.17635467538888353,0.15846543830213675,27.10,0,0
108008,0.160944,0.14098428640810096,0.17030287001024635,0.15473476080958593,43.23,0,0
108009,0.160649,0.12752897302842248,0.1647029058242492,0.1577851076387619,69.21,0,0
109001,0.247158,0.17699053528723438,0.25471140354871613,0.2185899660837587,17.94,0,0
109002,0.247193,0.1775819405779726,0.2444303349856652,0.23585268318172994,15.14,0,0
109003,0.24708,0.19907098797946216,0.2824859702892814,0.24524533608272409,12.44,0,0
109004,0.247151,0.21034901495612066,0.2735135645925568,0.2724715132643289,11.80,0,0
109005,0.247007,0.19988302872920607,0.29450280475337964,0.24198744046957615,13.67,0,0
109006,0.246943,0.20890644042722412,0.30450760510502295,0.2587922763554054,18.61,0,0
109007,0.246891,0.21552432521970466,0.28424209970730074,0.2492724107431922,27.97,0,0
109008,0.246917,0.22075350826330048,0.30504575707624054,0.2532868671584955,44.00,0,0
109009,0.247092,0.2299434791232141,0.30036801960175896,0.2965586478935935,71.44,0,0
110002,0.379452,0.2624562595681892,0.3698361405297298,0.35554288199298434,25.72,0,0
110003,0.379459,0.24940129894978758,0.2950968132306837,0.37262690108461444,21.29,0,0
110004,0.379495,0.2800867781499486,0.40415318471490913,0.3513558462992947,17.60,0,0
110005,0.379372,0.28197827034208023,0.4052781120609661,0.32971374334098363,17.42,0,0
110006,0.379427,0.32175444069679127,0.4654724738240388,0.4150068830258802,21.08,0,0
110007,0.379252,0.3415842085858336,0.43945554977251233,0.39266041755238507,29.62,0,0
110008,0.379185,0.3412839906757026,0.4028929709075829,0.3734447046643632,45.44,0,0
110009,0.378859,0.32005123775330163,0.41519693633402205,0.4012130640418422,71.79,0,0
110010,0.3789,0.28242894612471026,0.36317697205358784,0.376009229887663,115.20,0,0
111003,0.582569,0.40346763309396083,0.5476429948031745,0.554955910125322,37.13,0,0
111004,0.582684,0.405036198450484,0.5830312457970437,0.5309863099575426,29.57,0,0
111005,0.582563,0.41640755922483874,0.597870991025261,0.5472408711075408,24.97,0,0
111006,0.582602,0.4869791803983932,0.681290745882015,0.6691381734838969,26.05,0,0
111007,0.582125,0.5172820986056345,0.6899343706942563,0.6087260901795444,32.91,0,0
111008,0.581988,0.5276234712188739,0.6584904313434413,0.5914342835243657,47.68,0,0
111009,0.582246,0.4710680967556015,0.6100025619957514,0.5824847986282553,73.58,0,0
111010,0.582427,0.44633063123634953,0.5762804495285946,0.6011509626249596,116.34,0,0
112003,0.894778,0.699935291278684,0.954435710668304,0.9762591103186349,59.98,0,0
112004,0.894412,0.6632321227278669,0.7899583935723586,0.9725841737674046,51.55,0,0
112005,0.894388,0.6248285276518729,0.9058948197154536,0.7950327589021328,40.22,0,0
112006,0.89432,0.65867510076238,0.9310643847870836,0.8709137299725879,35.94,0,0
112007,0.89455,0.7435104233020864,1.0740048615134492,0.9383066688086438,39.51,0,0
112008,0.89408,0.8059748649381598,0.9306162861613965,0.9128062449598464,51.97,0,0
112009,0.893544,0.729902685945322,0.9567951084986603,0.9261890473102357,76.84,0,0
112010,0.893525,0.757219643028626,0.9847829366817636,1.045189236260149,119.69,0,0
113004,1.3737,0.917245764982775,1.2739579534029064,1.3491960281331632,87.85,0,0
113005,1.37356,0.9739738702056389,1.3948829573125603,1.3345705226906384,70.10,0,0
113006,1.37302,0.9703010091477755,1.3634555574572416,1.3217522485764925,55.97,0,0
113007,1.37359,1.016808277879773,1.4517022152172707,1.3530461021662423,52.55,0,0
113008,1.37325,1.229250901563753,1.7547154473785866,1.569924353950778,60.74,0,0
113009,1.3721,1.2378650106168942,1.7463167289402342,1.5095148166790502,82.78,0,0
113010,1.37356,1.0001223159215022,1.301378993929437,1.3721863015132316,124.03,0,0
114005,2.10886,1.1577895749018856,1.669641947893182,1.9590174845120627,121.27,0,0
114006,2.10891,1.3208817461132,1.8347530614188838,2.011827427028623,96.12,0,0
114007,2.10905,1.4278548576311823,2.028612694544225,1.9750430072566953,78.74,0,0
114008,2.10844,1.6756011336760885,2.4054765938760396,2.3443341925593257,77.98,0,0
114009,2.10925,1.8989722938413593,2.537698994413492,2.416528175023725,94.55,0,0
114010,2.10795,1.627496780503041,2.210285103404586,2.319218210038167,132.81,0,0
115006,3.23856,1.394117467077437,1.9987775757555275,2.6686517859591534,165.34,0,0
115007,3.2384,1.5491170239812522,2.1678172770289263,2.584272888465832,133.26,0,0
115008,3.23783,2.19702923438159,3.173136901093085,3.106118312266275,112.47,0,0
115009,3.23734,2.50738559926106,3.650449753490312,3.6775745192376523,117.96,0,0
115010,3.23648,2.60598028622308,3.6994436824757897,4.065205762522271,148.70,0,0
116006,4.97149,1.5935404906618496,2.5947054495796524,4.517596868972516,270.19,0,0
116007,4.97102,1.8588151502395487,2.687563994849463,4.285976779184039,228.34,0,0
116008,4.97283,2.2583410472133068,3.245044263057532,3.6294304285045325,181.74,0,0
116009,4.96999,3.3296219484973943,4.813216202633335,4.929751284083373,163.82,0,0
116010,4.97068,4.204662291369081,6.120308531219188,7.631198376730464,180.53,0,0
117007,7.63509,2.143934031048711,3.439862049595918,6.976716866437144,386.10,0,0
117008,7.63371,2.4381552523749983,3.488288551274086,4.976105726882977,315.51,0,0
117009,7.6321,3.4621888339003175,4.948440511693646,7.320450542577847,257.54,0,0
117010,7.63167,5.048832816914382,7.2821130538427745,9.512528477313788,243.13,0,0
118008,11.7184,2.8052233085931118,4.305715324219612,8.644799032136216,552.06,0,0
118009,11.7177,3.5250372341395204,5.019897074950489,11.133291052388744,445.82,0,0
118010,11.7222,5.449564021560901,7.822269343110522,14.279076122611535,368.89,0,0
119009,17.9937,4.070316981093059,5.901420106282305,15.281414453293003,765.47,0,0
119010,17.9928,5.295861430390966,7.466044571315874,17.768188577037982,628.33,0,0
120010,27.6323,5.174231257980237,7.3522072464655395,27.454353305218437,1073.00,0,0
202004,0.0122637,0.010543652922771695,0.013437064686803531,0.012053175471194355,6.03,0,0
202005,0.0122801,0.010616853553982423,0.014177076062251605,0.012325706206310863,9.51,0,0
203004,0.0188509,0.01625092202762402,0.02060352605023012,0.018599606515177468,6.05,0,0
203005,0.018839,0.01649526573967824,0.018575217271163624,0.01944320363975692,9.71,0,0
203006,0.0188635,0.01514957623256605,0.022994763316756754,0.017255629946411194,15.52,0,0
204004,0.0289558,0.026177612596768183,0.03641578905986451,0.029879039562285374,6.18,0,0
204005,0.0289043,0.025881837845211763,0.03987304436107986,0.029876915253758837,9.95,0,0
204006,0.0289059,0.02412979895218525,0.03670728814583693,0.027919513137134838,15.80,0,0
205004,0.044419,0.039872825094044044,0.05509686996692878,0.04559357417321265,6.39,0,0
205005,0.0444482,0.04002008676766126,0.0594740494464209,0.04629131729618181,10.10,0,0
205006,0.0444555,0.0380375463537029,0.05753923267420861,0.04471266370324353,16.16,0,0
205007,0.044415,0.03599009012067169,0.04912793210975037,0.04048930723891734,25.98,0,0
206004,0.0682401,0.06039740759900806,0.08497374574221067,0.06928781876590341,6.76,0,0
206005,0.0682465,0.06424645859343263,0.07378413039897788,0.07651610497511872,10.35,0,0
206006,0.0682163,0.06181308272628007,0.09357770976934592,0.07294898931562568,16.32,0,0
206007,0.068282,0.0567275195770832,0.07995491895319566,0.064547134734812,26.18,0,0
207004,0.104825,0.0920709690860518,0.12168562507941783,0.10630517504481692,7.52,0,0
207005,0.104797,0.09484957196288893,0.13040204643759548,0.11125868387279195,10.89,0,0
207006,0.104841,0.09201056469137066,0.14027347039419316,0.10752435367128707,16.86,0,0
207007,0.104828,0.09161013408308184,0.1264978528706082,0.10430141065232039,26.62,0,0
207008,0.104738,0.08026773592058851,0.13464480815627608,0.09319366322712645,42.76,0,0
208001,0.160972,0.1282090901804608,0.16358934865385108,0.1502822987644773,10.81,0,0
208002,0.160966,0.1273667836315598,0.17821945050867571,0.1464515837490776,8.84,0,0
208003,0.160927,0.1344205787671336,0.18499613823283673,0.15475105634085598,8.11,0,0
208004,0.160882,0.13608211673620624,0.19813532147808188,0.15631548004632706,9.00,0,0
208005,0.160912,0.1424526983958662,0.21002614593666974,0.16598495854500878,11.85,0,0
208006,0.160731,0.14125614616569113,0.21422946875520849,0.16719807105904333,17.47,0,0
208007,0.16085,0.1363075615715854,0.1877058154089321,0.15510677213979762,27.25,0,0
208008,0.1607,0.13294197657300938,0.19056860482576535,0.16604466971169352,43.52,0,0
209001,0.247185,0.18820023456802498,0.27694067563262353,0.22600256735980725,18.00,0,0
209002,0.247205,0.203884000795035,0.2667014243437298,0.25165542714737055,15.23,0,0
209003,0.247105,0.20588869572565024,0.28732663256933944,0.24255004761412954,12.59,0,0
209004,0.247162,0.22471595020298477,0.26817386814346944,0.27059638431293537,11.94,0,0
209005,0.246996,0.20403216684136538,0.3096907182114964,0.2342639770914614,13.82,0,0
209006,0.246953,0.2197922383667816,0.3350529997220146,0.25858855488807886,18.81,0,0
209007,0.246881,0.2227781340864896,0.31773169272039814,0.25690043845087474,28.19,0,0
209008,0.246823,0.21389279125217853,0.2624650231369,0.2389316460141005,44.54,0,0
209009,0.247018,0.18419345111588223,0.2435097788481566,0.23087461792229072,70.65,0,0
210002,0.37943,0.26890126157307764,0.3729166447321823,0.33553750544787614,25.83,0,0
210003,0.379522,0.26813858547934843,0.28483313126596144,0.347934549197714,21.49,1,0
210004,0.37931,0.3178345022087048,0.46461310974648234,0.384117274548829,17.79,0,0
210005,0.379401,0.32756303926417113,0.4989818437668536,0.38360707014583634,17.73,0,0
210006,0.379282,0.33107680661282424,0.49122033059278064,0.405287797827594,21.50,0,0
210007,0.379381,0.3423810664878842,0.48764099950485706,0.3951906352360392,30.14,0,0
210008,0.379275,0.3342732374837273,0.42983958996167715,0.37774284948707626,45.78,0,0
210009,0.378973,0.30250773799480984,0.4008745851824448,0.3837299074039913,72.07,0,0
211003,0.582577,0.4996753379850997,0.6435528322081868,0.6293578708760003,37.54,0,0
211004,0.582565,0.4444835681996338,0.6000868013210782,0.5545695729999393,30.06,0,0
211005,0.582542,0.4457179048109486,0.6495709747481198,0.5508803067875675,25.54,0,0
211006,0.582463,0.5093344536346723,0.7496888033127607,0.6343387518805251,26.74,0,0
211007,0.582311,0.5243509837547747,0.7867589456910559,0.6165741923320729,33.76,0,0
211008,0.582219,0.5239704658052429,0.685997758866146,0.5960040371961711,48.29,0,0
211009,0.582034,0.4272765481277524,0.5696621819917099,0.5477986186401029,74.37,0,0
211010,0.582097,0.3784852035363204,0.4995284222207706,0.5257075039033916,117.62,0,0
212003,0.894617,0.7788276150045562,0.9495838972980641,0.9918868622199192,60.46,0,0
212004,0.894488,0.7870513580704547,0.8360538726105903,1.0141843614474328,51.55,1,0
212005,0.894702,0.686379690083138,0.8395442921171599,0.8665941478150083,41.21,0,0
212006,0.894537,0.7065265230069451,0.9764178645674583,0.8765895651391825,37.06,0,0
212007,0.894304,0.7591862192160926,1.1373169867470478,0.9244611204189447,40.76,0,0
