! Date: 08/09/2026  Time: 12:56:04  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 5.77081683E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  3.7407440E+13  1.1715167E+00  2.5005329E+00  1.2122759E-05  9.6174343E-03  2.4392585E-16  5.2462677E+07  2.4392585E-18  5.2462677E+05       Infinity  1.0000000E-31
    2  8.5258727E+13  6.0849062E-01  5.6991939E+00  2.7630092E-05  2.1919977E-02  2.4371103E-16  5.2416475E+07  2.4371103E-18  5.2416475E+05       Infinity  1.0000000E-31
    3  1.4190612E+14  4.3279067E-01  9.4858380E+00  4.5988008E-05  3.6483992E-02  2.4325139E-16  5.2317617E+07  2.4325139E-18  5.2317617E+05       Infinity  3.5645322E+00
    4  2.0896652E+14  3.4792735E-01  1.3968549E+01  6.7720507E-05  5.3725189E-02  2.4241925E-16  5.2138645E+07  2.4241925E-18  5.2138645E+05       Infinity  4.6634692E+00
    5  2.8835408E+14  2.9848702E-01  1.9275280E+01  9.3447909E-05  7.4135692E-02  2.4103976E-16  5.1841948E+07  2.4103976E-18  5.1841948E+05       Infinity  4.4035367E+00
    6  3.8233479E+14  2.6649803E-01  2.5557502E+01  1.2390456E-04  9.8298086E-02  2.3889116E-16  5.1379835E+07  2.3889116E-18  5.1379835E+05       Infinity  4.6997122E+00
    7  4.9359119E+14  2.4437496E-01  3.2994533E+01  1.5995981E-04  1.2690205E-01  2.3561787E-16  5.0675829E+07  2.3561787E-18  5.0675829E+05       Infinity  4.7572583E+00
    8  6.2529893E+14  2.2836140E-01  4.1798652E+01  2.0264280E-04  1.6076404E-01  2.3081012E-16  4.9641794E+07  2.3081012E-18  4.9641794E+05       Infinity  6.0903191E+00
    9  7.8121739E+14  2.1638381E-01  5.2221157E+01  2.5317183E-04  2.0085061E-01  2.2395066E-16  4.8166488E+07  2.2395066E-18  4.8166488E+05       Infinity  5.5498998E+00
   10  9.6579705E+14  2.0720349E-01  6.4559545E+01  3.1298920E-04  2.4830594E-01  2.1445324E-16  4.6123817E+07  2.1445324E-18  4.6123817E+05       Infinity  5.6361137E+00
   11  1.1843064E+15  2.0003460E-01  7.9165996E+01  3.8380230E-04  3.0448460E-01  2.0174428E-16  4.3390420E+07  2.0174428E-18  4.3390420E+05       Infinity  5.6301744E+00
   12  1.4429826E+15  1.9435441E-01  9.6457428E+01  4.6763238E-04  3.7099011E-01  1.8540952E-16  3.9877201E+07  1.8540952E-18  3.9877201E+05       Infinity  5.5029814E+00
   13  1.7492090E+15  1.8980168E-01  1.1692740E+02  5.6687224E-04  4.4972077E-01  1.6541224E-16  3.5576258E+07  1.6541224E-18  3.5576258E+05       Infinity  5.4973471E+00
