! Date: 08/09/2026  Time: 12:06:17  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 5.77081683E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  1.0358249E+00  5.0217519E-06  3.9839420E-03  7.0595675E+23  7.9631528E-03  3.2218026E+23  1.7797238E-02
    2  5.9881185E+01  2.9030819E-04  2.3031225E-01  6.8351333E+23  7.9631528E-03  2.9973684E+23  1.7797238E-02
    3  1.1872655E+02  5.7559462E-04  4.5664056E-01  6.3094741E+23  7.9631528E-03  2.4717092E+23  1.7797238E-02
    4  1.7757191E+02  8.6088106E-04  6.8296887E-01  5.7246554E+23  7.9631528E-03  1.8868904E+23  1.7797238E-02
    5  2.3641727E+02  1.1461675E-03  9.0929718E-01  5.2615995E+23  1.1691490E-01  1.4238346E+23  2.8171790E-01
    6  2.9526263E+02  1.4314539E-03  1.1356255E+00  4.9075943E+23  2.4163292E-01  1.0698294E+23  6.7066918E-01
    7  3.5410799E+02  1.7167404E-03  1.3619538E+00  4.6628702E+23  2.8146583E-01  8.2510532E+22  9.8376733E-01
    8  4.1295335E+02  2.0020268E-03  1.5882821E+00  4.4727154E+23  2.8146583E-01  6.3495047E+22  1.2860867E+00
    9  4.7179871E+02  2.2873132E-03  1.8146104E+00  4.3244403E+23  2.7083042E-01  4.8667542E+22  1.4292293E+00
   10  5.3064407E+02  2.5725997E-03  2.0409387E+00  4.2338415E+23  2.5306650E-01  3.9607654E+22  1.7040228E+00
   11  5.8948943E+02  2.8578861E-03  2.2672670E+00  4.1622151E+23  1.8013588E-01  3.2445020E+22  1.7525232E+00
