! Date: 14/08/2026  Time: 14:21:00  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.30845773E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.6981625E+14  1.0023160E+00  6.4828212E+01  3.1429172E-04  2.4933928E-01  4.0891187E-19  8.7947266E+04  4.0891187E-21  8.7947266E+02       Infinity  6.1591161E+00
    2  1.9909697E+15  5.3754939E-01  1.3308810E+02  6.4522047E-04  5.1187732E-01  4.0872654E-19  8.7907407E+04  4.0872654E-21  8.7907407E+02       Infinity  9.1805959E+00
    3  3.1152637E+15  3.7824840E-01  2.0824252E+02  1.0095743E-03  8.0093276E-01  4.0837941E-19  8.7832747E+04  4.0837941E-21  8.7832747E+02       Infinity  9.0132072E+00
    4  4.3531159E+15  2.9803040E-01  2.9098783E+02  1.4107294E-03  1.1191840E+00  4.0782339E-19  8.7713160E+04  4.0782339E-21  8.7713160E+02       Infinity  9.4756126E+00
    5  5.7159961E+15  2.4989512E-01  3.8209074E+02  1.8524027E-03  1.4695798E+00  4.0700091E-19  8.7536265E+04  4.0700091E-21  8.7536265E+02       Infinity  8.9992149E+00
    6  7.2165327E+15  2.1792648E-01  4.8239541E+02  2.3386868E-03  1.8553670E+00  4.0584137E-19  8.7286874E+04  4.0584137E-21  8.7286874E+02       Infinity  8.9793475E+00
    7  8.8686294E+15  1.9524098E-01  5.9283126E+02  2.8740875E-03  2.2801202E+00  4.0425841E-19  8.6946418E+04  4.0425841E-21  8.6946418E+02       Infinity  9.0081394E+00
    8  1.0687594E+16  1.7837599E-01  7.1442156E+02  3.4635659E-03  2.7477752E+00  4.0220400E-19  8.6504563E+04  4.0220400E-21  8.6504563E+02       Infinity  9.2478564E+00
    9  1.2690282E+16  1.6539942E-01  8.4829297E+02  4.1125838E-03  3.2626653E+00  3.9949226E-19  8.5921331E+04  3.9949226E-21  8.5921331E+02       Infinity  9.2381772E+00
   10  1.4895249E+16  1.5514807E-01  9.9568593E+02  4.8271552E-03  3.8295613E+00  3.9601438E-19  8.5173321E+04  3.9601438E-21  8.5173321E+02       Infinity  9.1916756E+00
   11  1.7322927E+16  1.4687969E-01  1.1579662E+03  5.6139012E-03  4.4537160E+00  3.9161411E-19  8.4226927E+04  3.9161411E-21  8.4226927E+02       Infinity  9.3332296E+00
   12  1.9995810E+16  1.4009832E-01  1.3366373E+03  6.4801116E-03  5.1409128E+00  3.8611697E-19  8.3044622E+04  3.8611697E-21  8.3044622E+02       Infinity  9.5098839E+00
   13  2.2938665E+16  1.3445987E-01  1.5333550E+03  7.4338127E-03  5.8975193E+00  3.7933293E-19  8.1585536E+04  3.7933293E-21  8.1585536E+02       Infinity  9.4820662E+00
   14  2.6178759E+16  1.2971812E-01  1.7499420E+03  8.4838415E-03  6.7305461E+00  3.7105743E-19  7.9805671E+04  3.7105743E-21  7.9805671E+02       Infinity  9.4510186E+00
   15  2.9746117E+16  1.2569220E-01  1.9884051E+03  9.6399273E-03  7.6477118E+00  3.6108843E-19  7.7661576E+04  3.6108843E-21  7.7661576E+02       Infinity  9.4746198E+00
   16  3.3673791E+16  1.2224623E-01  2.2509539E+03  1.0912782E-02  8.6575150E+00  3.4923642E-19  7.5112488E+04  3.4923642E-21  7.5112488E+02       Infinity  9.4880927E+00
   17  3.7998176E+16  1.1927616E-01  2.5400212E+03  1.2314201E-02  9.7693123E+00  3.3534289E-19  7.2124319E+04  3.3534289E-21  7.2124319E+02       Infinity  9.6290111E+00
   18  4.2759342E+16  1.1670092E-01  2.8582854E+03  1.3857168E-02  1.0993406E+01  3.1930870E-19  6.8675746E+04  3.1930870E-21  6.8675746E+02       Infinity  9.7187194E+00
   19  4.8001404E+16  1.1445644E-01  3.2086956E+03  1.5555982E-02  1.2341137E+01  3.0111923E-19  6.4763620E+04  3.0111923E-21  6.4763620E+02       Infinity  9.8354281E+00
   20  5.3772935E+16  1.1249140E-01  3.5944987E+03  1.7426382E-02  1.3824995E+01  2.8087298E-19  6.0409131E+04  2.8087298E-21  6.0409131E+02       Infinity  9.9377161E+00
   21  6.0127414E+16  1.1076420E-01  4.0192693E+03  1.9485700E-02  1.5458728E+01  2.5880149E-19  5.5662077E+04  2.5880149E-21  5.5662077E+02       Infinity  1.0148522E+01
   22  6.7123720E+16  1.0924079E-01  4.4869436E+03  2.1753017E-02  1.7257475E+01  2.3528070E-19  5.0603310E+04  2.3528070E-21  5.0603310E+02       Infinity  1.0377401E+01
   23  7.4826682E+16  1.0789299E-01  5.0018547E+03  2.4249343E-02  1.9237903E+01  2.1082175E-19  4.5342769E+04  2.1082175E-21  4.5342769E+02       Infinity  1.0620353E+01
   24  8.3307673E+16  1.0669735E-01  5.5687740E+03  2.6997807E-02  2.1418361E+01  1.8603854E-19  4.0012488E+04  1.8603854E-21  4.0012488E+02       Infinity  1.0937964E+01
   25  9.2645278E+16  1.0563412E-01  6.1929543E+03  3.0023877E-02  2.3819055E+01  1.6159961E-19  3.4756251E+04  1.6159961E-21  3.4756251E+02       Infinity  1.1331789E+01
   26  1.0292602E+17  1.0468663E-01  6.8801794E+03  3.3355592E-02  2.6462228E+01  1.3815871E-19  2.9714669E+04  1.3815871E-21  2.9714669E+02       Infinity  1.1762431E+01
   27  1.1424515E+17  1.0384068E-01  7.6368169E+03  3.7023824E-02  2.9372373E+01  1.1629330E-19  2.5011936E+04  1.1629330E-21  2.5011936E+02       Infinity  1.2321290E+01
   28  1.2670757E+17  1.0308409E-01  8.4698778E+03  4.1062562E-02  3.2576453E+01  9.6445686E-20  2.0743185E+04  9.6445686E-22  2.0743185E+02       Infinity  1.2988725E+01
   29  1.4042874E+17  1.0240640E-01  9.3870812E+03  4.5509228E-02  3.6104158E+01  7.8894547E-20  1.6968350E+04  7.8894547E-22  1.6968350E+02       Infinity  1.3863009E+01
   30  1.5553580E+17  1.0179855E-01  1.0396926E+04  5.0405026E-02  3.9988176E+01  6.3748593E-20  1.3710814E+04  6.3748593E-22  1.3710814E+02       Infinity  1.5010787E+01
