! Date: 09/09/2026  Time: 00:51:21  Created by RADMC3D compiled on Sep  9 2026 00:16    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 9.93430968E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  1.0317381E+15  9.7848555E-01  6.8967429E+01  3.3435893E-04  2.6525934E-01  3.1543326E-19  6.7842230E+04  3.1543326E-21  6.7842230E+02       Infinity  6.0628607E+00
    2  2.0872529E+15  5.2772182E-01  1.3952424E+02  6.7642329E-04  5.3663168E-01  3.1530252E-19  6.7814110E+04  3.1530252E-21  6.7814110E+02       Infinity  8.8776301E+00
    3  3.2389031E+15  3.7105511E-01  2.1650730E+02  1.0496426E-03  8.3272039E-01  3.1506191E-19  6.7762361E+04  3.1506191E-21  6.7762361E+02       Infinity  8.7940887E+00
    4  4.4954447E+15  2.9168895E-01  3.0050192E+02  1.4568544E-03  1.1557766E+00  3.1468252E-19  6.7680763E+04  3.1468252E-21  6.7680763E+02       Infinity  9.4077546E+00
    5  5.8664310E+15  2.4387929E-01  3.9214669E+02  1.9011547E-03  1.5082565E+00  3.1412969E-19  6.7561862E+04  3.1412969E-21  6.7561862E+02       Infinity  9.2883861E+00
    6  7.3622855E+15  2.1202765E-01  4.9213839E+02  2.3859214E-03  1.8928400E+00  3.1336168E-19  6.7396681E+04  3.1336168E-21  6.7396681E+02       Infinity  9.0778085E+00
    7  8.9943813E+15  1.8936082E-01  6.0123725E+02  2.9148404E-03  2.3124510E+00  3.1232837E-19  6.7174442E+04  3.1232837E-21  6.7174442E+02       Infinity  9.1200033E+00
    8  1.0775127E+16  1.7246274E-01  7.2027274E+02  3.4919328E-03  2.7702798E+00  3.1099247E-19  6.6887120E+04  3.1099247E-21  6.6887120E+02       Infinity  9.1289220E+00
    9  1.2718061E+16  1.5942375E-01  8.5014989E+02  4.1215863E-03  3.2698073E+00  3.0927697E-19  6.6518157E+04  3.0927697E-21  6.6518157E+02       Infinity  8.9206062E+00
   10  1.4837957E+16  1.4909260E-01  9.9185613E+02  4.8085881E-03  3.8148313E+00  3.0709226E-19  6.6048277E+04  3.0709226E-21  6.6048277E+02       Infinity  8.9229285E+00
   11  1.7150930E+16  1.4073391E-01  1.1464689E+03  5.5581615E-03  4.4094956E+00  3.0436084E-19  6.5460815E+04  3.0436084E-21  6.5460815E+02       Infinity  8.9537470E+00
   12  1.9674567E+16  1.3385590E-01  1.3151636E+03  6.3760053E-03  5.0583215E+00  3.0098622E-19  6.4735014E+04  3.0098622E-21  6.4735014E+02       Infinity  8.8776919E+00
